Time,Signal
0,0
0.0039062,0.49594
0.0078125,0.88054
0.011719,1.0687
0.015625,1.0219
0.019531,0.7568
0.023438,0.34182
0.027344,-0.11932
0.03125,-0.51202
0.035156,-0.73784
0.039062,-0.73781
0.042969,-0.5063
0.046875,-0.092399
0.050781,0.4117
0.054688,0.89246
0.058594,1.2418
0.0625,1.3827
0.066406,1.2872
0.070312,0.98313
0.074219,0.54763
0.078125,0.088713
0.082031,-0.28011
0.085938,-0.46668
0.089844,-0.42194
0.09375,-0.15154
0.097656,0.28552
0.10156,0.79079
0.10547,1.2496
0.10938,1.5583
0.11328,1.6484
0.11719,1.503
0.12109,1.1609
0.125,0.70711
0.12891,0.25285
0.13281,-0.090518
0.13672,-0.23798
0.14062,-0.15087
0.14453,0.15395
0.14844,0.60812
0.15234,1.1079
0.15625,1.5386
0.16016,1.8018
0.16406,1.8385
0.16797,1.6431
0.17188,1.2646
0.17578,0.79521
0.17969,0.34842
0.18359,0.032288
0.1875,-0.07612
0.19141,0.051072
0.19531,0.38597
0.19922,0.85151
0.20312,1.3396
0.20703,1.7368
0.21094,1.9508
0.21484,1.9326
0.21875,1.6879
0.22266,1.2756
0.22656,0.79409
0.23047,0.35809
0.23438,0.071305
0.23828,0.0021057
0.24219,0.16733
0.24609,0.5283
0.25,1
0.25391,1.4711
0.25781,1.8303
0.26172,1.9925
0.26562,1.9191
0.26953,1.6269
0.27344,1.1843
0.27734,0.69499
0.28125,0.27368
0.28516,0.018762
0.28906,-0.010754
0.29297,0.19077
0.29688,0.57426
0.30078,1.0475
0.30469,1.4971
0.30859,1.8149
0.3125,1.9239
0.31641,1.7961
0.32031,1.4596
0.32422,0.99124
0.32812,0.49924
0.33203,0.097077
0.33594,-0.12306
0.33984,-0.11209
0.34375,0.12436
0.34766,0.5273
0.35156,0.9983
0.35547,1.4227
0.35938,1.6969
0.36328,1.7524
0.36719,1.5724
0.37109,1.1956
0.375,0.70711
0.37891,0.21814
0.38281,-0.15991
0.38672,-0.34201
0.39062,-0.28949
0.39453,-0.019162
0.39844,0.40061
0.40234,0.86609
0.40625,1.2627
0.41016,1.4919
0.41406,1.4949
0.41797,1.2659
0.42188,0.85408
0.42578,0.35159
0.42969,-0.12802
0.43359,-0.47668
0.4375,-0.61732
0.44141,-0.52203
0.44531,-0.21868
0.44922,0.21566
0.45312,0.67297
0.45703,1.0397
0.46094,1.2238
0.46484,1.176
0.46875,0.9022
0.47266,0.46125
0.47656,-0.04836
0.48047,-0.51198
0.48438,-0.82586
0.48828,-0.92162
0.49219,-0.7824
0.49609,-0.44686
0.5,-2.3268e-15
0.50391,0.44686
0.50781,0.7824
0.51172,0.92162
0.51562,0.82586
0.51953,0.51198
0.52344,0.04836
0.52734,-0.46125
0.53125,-0.9022
0.53516,-1.176
0.53906,-1.2238
0.54297,-1.0397
0.54688,-0.67297
0.55078,-0.21566
0.55469,0.21868
0.55859,0.52203
0.5625,0.61732
0.56641,0.47668
0.57031,0.12802
0.57422,-0.35159
0.57812,-0.85408
0.58203,-1.2659
0.58594,-1.4949
0.58984,-1.4919
0.59375,-1.2627
0.59766,-0.86609
0.60156,-0.40061
0.60547,0.019162
0.60938,0.28949
0.61328,0.34201
0.61719,0.15991
0.62109,-0.21814
0.625,-0.70711
0.62891,-1.1956
0.63281,-1.5724
0.63672,-1.7524
0.64062,-1.6969
0.64453,-1.4227
0.64844,-0.9983
0.65234,-0.5273
0.65625,-0.12436
0.66016,0.11209
0.66406,0.12306
0.66797,-0.097077
0.67188,-0.49924
0.67578,-0.99124
0.67969,-1.4596
0.68359,-1.7961
0.6875,-1.9239
0.69141,-1.8149
0.69531,-1.4971
0.69922,-1.0475
0.70312,-0.57426
0.70703,-0.19077
0.71094,0.010754
0.71484,-0.018762
0.71875,-0.27368
0.72266,-0.69499
0.72656,-1.1843
0.73047,-1.6269
0.73438,-1.9191
0.73828,-1.9925
0.74219,-1.8303
0.74609,-1.4711
0.75,-1
0.75391,-0.5283
0.75781,-0.16733
0.76172,-0.0021057
0.76562,-0.071305
0.76953,-0.35809
0.77344,-0.79409
0.77734,-1.2756
0.78125,-1.6879
0.78516,-1.9326
0.78906,-1.9508
0.79297,-1.7368
0.79688,-1.3396
0.80078,-0.85151
0.80469,-0.38597
0.80859,-0.051072
0.8125,0.07612
0.81641,-0.032288
0.82031,-0.34842
0.82422,-0.79521
0.82812,-1.2646
0.83203,-1.6431
0.83594,-1.8385
0.83984,-1.8018
0.84375,-1.5386
0.84766,-1.1079
0.85156,-0.60812
0.85547,-0.15395
0.85938,0.15087
0.86328,0.23798
0.86719,0.090518
0.87109,-0.25285
0.875,-0.70711
0.87891,-1.1609
0.88281,-1.503
0.88672,-1.6484
0.89062,-1.5583
0.89453,-1.2496
0.89844,-0.79079
0.90234,-0.28552
0.90625,0.15154
0.91016,0.42194
0.91406,0.46668
0.91797,0.28011
0.92188,-0.088713
0.92578,-0.54763
0.92969,-0.98313
0.93359,-1.2872
0.9375,-1.3827
0.94141,-1.2418
0.94531,-0.89246
0.94922,-0.4117
0.95312,0.092399
0.95703,0.5063
0.96094,0.73781
0.96484,0.73784
0.96875,0.51202
0.97266,0.11932
0.97656,-0.34182
0.98047,-0.7568
0.98438,-1.0219
0.98828,-1.0687
